chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/,StandardChartThemeTest.java,160,76,0.475,2,0.2375
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/legend/,LegendGraphicTest.java,127,69,0.54330707,3,0.18110235
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/legend/,LegendTitleTest.java,84,51,0.60714287,3,0.20238096
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/legend/,PaintScaleLegendTest.java,94,60,0.63829786,3,0.21276595
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/,ChartRenderingInfoTest.java,65,52,0.8,3,0.26666668
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/imagemap/,DynamicDriveToolTipTagFragmentGeneratorTest.java,16,45,2.8125,1,2.8125
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/imagemap/,StandardURLTagFragmentGeneratorTest.java,15,47,3.1333334,1,3.1333334
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/imagemap/,ImageMapUtilsTest.java,59,48,0.8135593,5,0.16271186
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/imagemap/,OverLIBToolTipTagFragmentGeneratorTest.java,16,45,2.8125,1,2.8125
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/imagemap/,StandardToolTipTagFragmentGeneratorTest.java,14,45,3.2142856,1,3.2142856
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,RendererUtilsTest.java,235,108,0.45957446,11,0.041779496
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,RendererChangeDetector.java,19,64,3.368421,4,0.84210527
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,GanttRendererTest.java,67,53,0.7910448,4,0.1977612
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,IntervalBarRendererTest.java,89,65,0.7303371,6,0.12172285
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,StandardBarPainterTest.java,36,51,1.4166666,4,0.35416666
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,LayeredBarRendererTest.java,78,61,0.78205127,5,0.15641025
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,WaterfallBarRendererTest.java,72,100,1.3888888,5,0.27777776
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,ScatterRendererTest.java,115,68,0.59130436,10,0.059130438
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,GroupedStackedBarRendererTest.java,96,62,0.6458333,5,0.12916666
