chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
.\main\,java,40,3,0.075,16938,4.4279136E-6
.\main\java\org\jfree\,chart,3315,3281,0.9897436,12983,7.623381E-5
.\main\java\org\jfree\chart\,annotations,2737,2906,1.0617465,420,0.0025279678
.\main\java\org\jfree\chart\,api,574,835,1.4547038,98,0.0148439165
.\main\java\org\jfree\chart\,axis,9408,8353,0.8878614,1662,5.342126E-4
.\main\java\org\jfree\chart\,block,2399,2593,1.080867,467,0.0023144905
.\main\java\org\jfree\chart\,date,550,784,1.4254545,149,0.009566809
.\main\java\org\jfree\chart\,encoders,220,525,2.3863637,20,0.11931819
.\main\java\org\jfree\chart\,entity,1011,1575,1.5578635,185,0.008420884
.\main\java\org\jfree\chart\,event,206,934,4.5339804,36,0.1259439
.\main\java\org\jfree\chart\,imagemap,192,460,2.3958333,31,0.07728495
.\main\java\org\jfree\chart\,internal,1198,977,0.8155259,207,0.0039397385
.\main\java\org\jfree\chart\,labels,2189,3299,1.5070809,374,0.004029628
.\main\java\org\jfree\chart\,legend,1654,1704,1.0302297,306,0.0033667637
.\main\java\org\jfree\chart\,plot,12950,12156,0.93868726,3687,2.545938E-4
.\main\java\org\jfree\chart\plot\,compass,1158,1176,1.015544,199,0.0051032365
.\main\java\org\jfree\chart\plot\,dial,2462,3082,1.2518278,434,0.002884396
.\main\java\org\jfree\chart\plot\,flow,494,303,0.61336035,87,0.007050119
.\main\java\org\jfree\chart\plot\,pie,2235,2103,0.9409396,421,0.002235011
.\main\java\org\jfree\chart\,renderer,2605,3149,1.2088292,3387,3.5690263E-4
.\main\java\org\jfree\chart\renderer\,category,6645,5991,0.90158015,1166,7.732248E-4
.\main\java\org\jfree\chart\renderer\,xy,9685,8646,0.8927207,1644,5.4301746E-4
.\main\java\org\jfree\chart\,swing,2611,2387,0.9142091,713,0.0012822007
.\main\java\org\jfree\chart\swing\,editor,1878,1548,0.82428116,264,0.003122277
.\main\java\org\jfree\chart\,text,1167,1142,0.97857755,285,0.0034336054
.\main\java\org\jfree\chart\text\,format,407,565,1.3882064,78,0.017797517
.\main\java\org\jfree\chart\,title,1079,1052,0.97497684,202,0.004826618
.\main\java\org\jfree\chart\,urls,607,952,1.568369,115,0.013637992
.\main\java\org\jfree\chart\,util,790,921,1.1658227,121,0.009634899
.\main\java\org\jfree\,data,2010,2744,1.3651742,3955,3.4517678E-4
.\main\java\org\jfree\data\,category,854,1165,1.3641686,184,0.00741396
.\main\java\org\jfree\data\,flow,436,560,1.2844037,93,0.013810792
.\main\java\org\jfree\data\,function,177,366,2.0677967,37,0.0558864
.\main\java\org\jfree\data\,gantt,994,1277,1.2847083,198,0.0064884257
.\main\java\org\jfree\data\,general,2286,2845,1.244532,491,0.0025346885
.\main\java\org\jfree\data\,io,96,95,0.9895833,15,0.065972224
.\main\java\org\jfree\data\,json,105,88,0.83809525,74,0.011325612
.\main\java\org\jfree\data\json\,impl,365,401,1.0986302,62,0.017719842
.\main\java\org\jfree\data\,resources,72,297,4.125,6,0.6875
.\main\java\org\jfree\data\,statistics,2624,3122,1.1897866,481,0.0024735688
.\main\java\org\jfree\data\,time,4682,5533,1.18176,1005,0.0011758805
.\main\java\org\jfree\data\time\,ohlc,336,520,1.5476191,71,0.021797452
.\main\java\org\jfree\data\,xml,447,703,1.5727069,59,0.02665605
.\main\java\org\jfree\data\,xy,4324,7241,1.6746068,898,0.0018648183
